Gene,CS234_cDC1s,CS234_cDC2s,CS234_NewDCs,CCS231_Macro
ENSMUSG00000000001.4_Gnai3,136.709034724345,144.543833742043,151.962224524218,172.422075851091
ENSMUSG00000000028.15_Cdc45,10.0911082893753,4.00971708814616,7.62859075548512,1.75903499274226
ENSMUSG00000000056.7_Narf,41.5875977986375,33.3927514491312,35.8265095525865,40.4394815518976
ENSMUSG00000000058.6_Cav2,9.66300066497754,16.6855969151889,21.6143404738745,14.5120386901237
ENSMUSG00000000078.7_Klf6,409.495135775114,686.890406341942,599.715217999131,986.342225617875
ENSMUSG00000000085.16_Scmh1,11.3550450852162,5.86367230094492,7.54150638613027,8.09889027908417
ENSMUSG00000000088.7_Cox5a,75.0203569348187,115.633342384134,121.637357089994,70.0086765470833
ENSMUSG00000000120.6_Ngfr,194.523950095392,8.60148988263612,13.6896628625829,9.60139933538485
ENSMUSG00000000127.15_Fer,0,1.94018568781266,2.1945261077423,2.16214717857903
ENSMUSG00000000131.15_Xpo6,101.726525987844,85.7130921638126,82.2250615448522,106.055151437419
ENSMUSG00000000134.17_Tfe3,43.2592561415239,74.0719780369366,68.3612299435596,88.1533057300315
ENSMUSG00000000148.17_Brat1,21.629628070762,20.4150649595399,21.8581767080681,25.9091195805996
ENSMUSG00000000149.10_Gna12,41.9378306075496,57.6405454468512,49.8881968410533,54.7891759708161
ENSMUSG00000000154.16_Slc22a18,0.795057016738659,1.27189950645497,1.60235239612929,0.677961403452747
ENSMUSG00000000168.9_Dlat,34.0243631009441,41.39062800667,43.3505990648458,35.6021353218564
ENSMUSG00000000171.5_Sdhd,69.0680300695019,101.70884527889,109.691471639373,75.9683237490565
ENSMUSG00000000184.12_Ccnd2,223.003300156518,194.619164039738,160.130738369704,163.388148533677
ENSMUSG00000000194.13_Gpr107,58.4546304783614,84.3127092495869,76.5684092490384,76.9211343701252
ENSMUSG00000000202.9_Btbd17,0.203860773522733,2.26354996911477,9.40511189032412,0.476405310534363
ENSMUSG00000000204.16_Slfn4,12.2928046434208,120.504717493857,72.7274660542732,990.660290059434
ENSMUSG00000000244.17_Tspan32,0.468879779102286,17.4401135715605,16.2325264477446,9.30822683659447
ENSMUSG00000000247.11_Lhx2,0,2.19887711285435,1.11467992774212,11.5436671398711
ENSMUSG00000000248.16_Clec2g,0.428107624397739,1.63837902526402,1.81135488258094,2.528612802067
ENSMUSG00000000253.13_Gmpr,1.32509502789776,0.776074275125063,1.56751864838735,0.329819061139174
ENSMUSG00000000275.16_Trim25,141.948256603879,205.724355764402,197.768602804871,505.282801665215
ENSMUSG00000000276.11_Dgke,12.9247730413413,6.74753466983736,6.91449892677533,8.02559715438657
ENSMUSG00000000278.10_Scpep1,108.311228972628,174.099329053056,150.638542110025,170.91956679479
ENSMUSG00000000282.12_Mnt,46.9695222196377,53.8293740274245,55.4553264051704,63.0320872399311
ENSMUSG00000000290.13_Itgb2,645.260120354155,1327.6690661702,1233.74167752407,1146.61596605034
ENSMUSG00000000295.13_Hddc2,5.40231049835242,3.19052757551415,3.01311917967791,2.19879374092783
ENSMUSG00000000301.16_Pemt,0.856215248795479,0.776074275125063,1.30626554032279,0.696284684627146
ENSMUSG00000000303.12_Cdh1,416.079838759898,117.618367918954,194.511647391,87.8967797935899
ENSMUSG00000000318.16_Clec10a,191.229356134491,44.2112268443746,65.2328110588559,57.7241991493313
ENSMUSG00000000325.16_Arvcf,1.40806636272152,1.40124521897581,1.48060844777121,0.89784077754553
ENSMUSG00000000326.13_Comt,14.370757507938,32.8538109802944,40.7324945845615,28.3277926956202
ENSMUSG00000000339.14_Rtca,24.4675738989719,20.2561853093268,21.4041188062519,17.4335026405698
ENSMUSG00000000340.10_Dbt,21.9965774631029,13.1932626771261,13.7070797364539,13.3576719761366
ENSMUSG00000000346.9_Dazap2,244.765233869296,322.42070432927,306.321881736776,364.753312862224
ENSMUSG00000000355.13_Mcts1,14.4945009974663,18.9922621218106,19.6462337264548,13.7791074431477
